name,price,score,address,description,url
APA HOTEL＆RESORT OSAKA NAMBA EKIMAE TOWER,"฿2,559",8.6,"1-2-13 Minatomachi Naniwa-ku,Osaka-shi, Osaka, Namba, Osaka, Japan, 556-0017",N/A,https://www.agoda.com/apa-hotel-resort-osaka-namba-ekimae-tower/hotel/osaka-jp.html?countryId=3&finalPriceView=1&isShowMobileAppPrice=false&cid=1919571&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-23&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=THB&isFreeOccSearch=false&tspTypes=7&los=7&searchrequestid=5c9e42c7-1d3c-4adb-bd5f-8f9f272087c8
Hotel Villa Fontaine Grand Osaka Umeda,"฿5,478",9.0,"2-15-9 Sonezaki, Kita-ku, Umeda, Osaka, Japan, 530-0057",N/A,https://www.agoda.com/hotel-villa-fontaine-grand-osaka-umeda/hotel/osaka-jp.html?countryId=3&finalPriceView=1&isShowMobileAppPrice=false&cid=1919571&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-23&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=THB&isFreeOccSearch=false&los=7&searchrequestid=129d25b0-982b-4baf-8565-cec8e27e581e
Hotel New Otani Osaka,Sold Out/Check Dates,8.8,"1-4-1 Shiromi, Chuo-ku, Osaka Castle & Kyobashi, Osaka, Japan, 540-8578",N/A,https://www.agoda.com/hotel-new-otani-osaka/hotel/osaka-jp.html?countryId=3&finalPriceView=1&isShowMobileAppPrice=false&cid=1919571&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-23&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=THB&isFreeOccSearch=false&los=7&searchrequestid=129d25b0-982b-4baf-8565-cec8e27e581e
APA Hotel Higashi-Umeda Minami-morimachi-Ekimae,"฿2,102",8.4,"2-4-36 Minamimorimachi, Kita, Umeda, Osaka, Japan, 530-0054",N/A,https://www.agoda.com/apa-hotel-higashi-umeda-minami-morimachi-ekimae/hotel/osaka-jp.html?countryId=3&finalPriceView=1&isShowMobileAppPrice=false&cid=1919571&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-23&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=THB&isFreeOccSearch=false&tspTypes=9&los=7&searchrequestid=129d25b0-982b-4baf-8565-cec8e27e581e
Smile Hotel Osaka Yotsuhashi,"฿2,632",8.5,"Shinmachi, Shinsaibashi, Osaka, Japan, 550-0013",N/A,https://www.agoda.com/h31526633/hotel/osaka-jp.html?countryId=3&finalPriceView=1&isShowMobileAppPrice=false&cid=1919571&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-23&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=THB&isFreeOccSearch=false&tspTypes=9&los=7&searchrequestid=129d25b0-982b-4baf-8565-cec8e27e581e
Hotel Lantana Osaka,Sold Out/Check Dates,8.2,"1-8-5, Shinkitano, Yodogawa-ku, Juso, Osaka, Japan, 532-0025",N/A,https://www.agoda.com/hotel-lantana-osaka/hotel/osaka-jp.html?countryId=3&finalPriceView=1&isShowMobileAppPrice=false&cid=1919571&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-23&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=THB&isFreeOccSearch=false&los=7&searchrequestid=129d25b0-982b-4baf-8565-cec8e27e581e
The OneFive Osaka Namba Dotonbori,"฿3,068",8.2,"2-13, Soemoncho, Chuo-ku, Shinsaibashi, Osaka, Japan, 542-0084",N/A,https://www.agoda.com/ibis-styles-osaka_2/hotel/osaka-jp.html?countryId=3&finalPriceView=1&isShowMobileAppPrice=false&cid=1919571&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-23&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=THB&isFreeOccSearch=false&tspTypes=8&los=7&searchrequestid=5c9e42c7-1d3c-4adb-bd5f-8f9f272087c8
Dormy Inn Osaka Natural Hot Springs (Tanimachi),"฿3,715",8.7,"2-1-9, Uchihonmachi, Chuo, Osaka Castle & Kyobashi, Osaka, Japan, 540-0026",N/A,https://www.agoda.com/dormy-inn-osaka-natural-hot-springs-tanimachi/hotel/osaka-jp.html?countryId=3&finalPriceView=1&isShowMobileAppPrice=false&cid=1919571&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-23&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=THB&isFreeOccSearch=false&los=7&searchrequestid=129d25b0-982b-4baf-8565-cec8e27e581e
Centara Grand Hotel Osaka,"฿13,849",9.0,"2 Chome-11-50 Nanbanaka, Naniwa Ward, Namba, Osaka, Japan, 556-0011",N/A,https://www.agoda.com/centara-grand-hotel-osaka/hotel/osaka-jp.html?countryId=3&finalPriceView=1&isShowMobileAppPrice=false&cid=1919571&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-23&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=THB&isFreeOccSearch=false&tspTypes=-1&los=7&searchrequestid=5c9e42c7-1d3c-4adb-bd5f-8f9f272087c8
Apartment Hotel 11 Tsutenkaku,Sold Out/Check Dates,9.0,"No. 11, 2-5, Ebisu Higashi, Namba, Osaka, Japan, 556-0002",N/A,https://www.agoda.com/apartment-hotel-11-tsutenkaku/hotel/osaka-jp.html?countryId=3&finalPriceView=1&isShowMobileAppPrice=false&cid=1919571&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-23&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=THB&isFreeOccSearch=false&tspTypes=2&los=7&searchrequestid=129d25b0-982b-4baf-8565-cec8e27e581e
